ID,INCIDENT,PENALTY,VICTIM,SCORE,LOCATION,COUNTRY,DATE,WHEN,MOON_NIGHT_BEFORE
1310,not bite,None,None,Winning,No location,Uruguay,5/29/1998,91,No Moon
1311,bite,None,midfielder,Draw at a time,midfield,England,8/13/2009,55,Full
1312,not bite,None,None,Winning,No location,Uruguay,9/7/1997,91,Half
1313,bite,None,None,Losing,his team penalty area,England,12/15/2013,41,Full
1314,not bite,Yellow card,None,Winning,off field,Netherlands,8/15/1996,17,Full
1315,bite,None,journalist,Losing,off field,Uruguay,7/31/1995,20,Half
1316,not bite,Suspended for several games,referee,Draw at a time,opponent team penalty area,Uruguay,6/13/1997,25,No Moon
1317,bite,Red Card,journalist,Losing,off field,Uruguay,12/9/1995,84,Full
1318,bite,Suspended for several games,journalist,Losing,off field,Netherlands,2/3/2008,72,Full
1319,not bite,None,journalist,Winning,off field,Netherlands,12/27/2011,15,No Moon
1320,bite,Suspended for several games,midfielder,Draw at a time,his team penalty area,Uruguay,10/5/2002,23,Full
1321,not bite,None,None,Winning,No location,Uruguay,10/27/2000,91,No Moon
1322,bite,Suspended for several games,referee,Losing,off field,Uruguay,4/6/2000,54,Full
1323,not bite,None,None,Winning,No location,Uruguay,12/13/2012,91,No Moon
1324,not bite,None,None,Winning,No location,Uruguay,4/1/2006,91,Half
1325,not bite,Yellow card,forward,Draw at a time,his team penalty area,Netherlands,12/29/2012,47,No Moon
1326,bite,Red Card,spectator,Draw at a time,his team penalty area,England,7/17/2004,67,Full
1327,not bite,None,None,Winning,No location,Uruguay,3/31/2000,91,No Moon
1328,not bite,None,None,Winning,No location,Netherlands,10/23/2008,91,Half
1329,not bite,Red Card,journalist,Losing,off field,Uruguay,1/30/2005,81,No Moon
1330,not bite,Suspended for several games,goalkeeper,Draw at a time,opponent team penalty area,Netherlands,1/3/2011,89,Half
1331,bite,None,None,Draw at a time,off field,Uruguay,2/4/1999,73,Full
1332,bite,Suspended for several games,spectator,Losing,off field,Uruguay,2/7/1998,24,Full
1333,not bite,yellow card,midfielder,Winning,midfield,Netherlands,6/28/2010,28,Half
1334,not bite,None,None,Winning,No location,Uruguay,2/22/2004,91,No Moon
1335,bite,Yellow card,journalist,Losing,off field,Uruguay,4/6/2006,39,Full
1336,not bite,Suspended for several games,defender,Winning,midfield,Netherlands,9/7/2013,4,Half
1337,not bite,Not Caught,journalist,Losing,off field,Uruguay,8/7/1999,89,No Moon
1338,bite,Not Caught,defender,Losing,off field,Uruguay,7/26/2004,84,Full
1339,bite,Red Card,referee,Draw at a time,opponent team penalty area,Uruguay,4/27/1996,46,Half
1340,not bite,Red Card,midfielder,Draw at a time,opponent team penalty area,Uruguay,7/3/2003,38,No Moon
1341,not bite,None,None,Winning,No location,Uruguay,3/28/2003,91,Half
1342,not bite,Suspended for several games,forward,Winning,his team penalty area,Uruguay,5/27/1996,17,No Moon
1343,bite,yellow card,journalist,Losing,off field,Uruguay,7/15/1999,55,Full
1344,not bite,Not Caught,defender,Draw at a time,off field,Uruguay,8/4/2005,52,Half
1345,bite,None,defender,Losing,midfield,Netherlands,7/26/2004,87,Full
1346,not bite,Suspended for several games,defender,Winning,his team penalty area,Uruguay,8/10/1994,2,No Moon
1347,not bite,None,None,Winning,No location,Netherlands,8/17/2010,91,Half
1348,not bite,Suspended for several games,None,Draw at a time,off field,Uruguay,1/13/2006,44,Full
1349,not bite,None,None,Winning,No location,Uruguay,8/24/1992,91,No Moon
1350,bite,Suspended for several games,journalist,Winning,No location,Netherlands,1/13/1999,28,Full
1351,bite,yellow card,goalkeeper,Losing,off field,Uruguay,3/5/2008,37,Full
1352,bite,Red Card,midfielder,Losing,his team penalty area,Uruguay,3/26/1994,84,Half
1353,not bite,Suspended for several games,spectator,Draw at a time,off field,England,10/28/2012,82,Half
1354,not bite,Not Caught,defender,Losing,off field,Uruguay,10/16/2004,86,No Moon
1355,not bite,Not Caught,spectator,Draw at a time,off field,Uruguay,6/7/2000,24,Full
1356,not bite,yellow card,journalist,Draw at a time,off field,Uruguay,8/16/2005,59,Half
1357,not bite,Red Card,referee,Draw at a time,midfield,Netherlands,10/31/2011,81,Half
1358,not bite,Yellow card,forward,Winning,midfield,Uruguay,8/22/2006,11,No Moon
1359,bite,Yellow card,spectator,Draw at a time,off field,Netherlands,11/27/2007,83,Full
1360,bite,None,None,Losing,opponent team penalty area,Netherlands,7/10/1995,36,Full
1361,not bite,None,None,Winning,No location,Uruguay,10/17/2002,91,No Moon
1362,not bite,Not Caught,forward,Losing,off field,Uruguay,11/20/1994,5,No Moon
1363,not bite,Red Card,defender,Winning,off field,Netherlands,11/25/2007,45,Half
1364,bite,yellow card,spectator,Losing,off field,England,3/26/2003,64,Full
1365,not bite,Not Caught,journalist,Winning,off field,Uruguay,7/17/2004,38,Half
1366,not bite,Suspended for several games,None,Draw at a time,his team penalty area,Uruguay,4/6/1998,62,No Moon
1367,not bite,Suspended for several games,goalkeeper,Draw at a time,off field,Uruguay,11/20/2005,31,No Moon
1368,not bite,Suspended for several games,forward,Winning,his team penalty area,Netherlands,3/2/2010,75,No Moon
1369,not bite,None,None,Winning,No location,Uruguay,12/24/1998,91,No Moon
1370,not bite,yellow card,journalist,Draw at a time,off field,Uruguay,5/16/2000,9,No Moon
1371,not bite,None,None,Winning,No location,Uruguay,9/19/2004,91,No Moon
1372,bite,Suspended for several games,midfielder,Draw at a time,off field,England,12/13/2012,83,Full
1373,not bite,None,None,Winning,No location,Uruguay,1/3/2002,91,Half
1374,not bite,Suspended for several games,forward,Winning,opponent team penalty area,Uruguay,7/9/2005,89,No Moon
1375,not bite,Yellow card,referee,Losing,midfield,Netherlands,9/2/2009,33,No Moon
1376,not bite,yellow card,defender,Draw at a time,opponent team penalty area,Uruguay,3/25/1995,88,No Moon
1377,not bite,yellow card,referee,Winning,midfield,Uruguay,9/29/1996,23,No Moon
1378,not bite,Suspended for several games,spectator,Draw at a time,off field,Uruguay,8/26/1999,46,Half
1379,not bite,None,None,Winning,No location,Uruguay,5/15/1995,91,No Moon
1380,not bite,Suspended for several games,None,Losing,his team penalty area,Uruguay,1/28/2013,22,No Moon
1381,bite,Red Card,goalkeeper,Draw at a time,midfield,Uruguay,12/3/2000,87,Full
1382,not bite,None,None,Winning,No location,Netherlands,4/5/2007,91,Half
1383,bite,yellow card,referee,Losing,midfield,Uruguay,7/24/1994,84,Half
1384,not bite,None,None,Winning,No location,Uruguay,7/14/2004,91,Half
1385,not bite,Yellow card,midfielder,Draw at a time,opponent team penalty area,Uruguay,1/21/2013,12,Full
1386,not bite,Yellow card,journalist,Draw at a time,off field,Uruguay,8/2/2006,10,No Moon
1387,bite,Suspended for several games,goalkeeper,Losing,opponent team penalty area,Uruguay,2/21/2001,50,Half
1388,bite,Suspended for several games,referee,Draw at a time,opponent team penalty area,Uruguay,4/4/1997,10,Full
1389,not bite,None,midfielder,Draw at a time,off field,Uruguay,8/12/1996,10,No Moon
1390,not bite,None,None,Winning,No location,Uruguay,11/16/2001,91,No Moon
1391,not bite,Suspended for several games,spectator,Winning,off field,Uruguay,2/19/2002,30,Full
1392,bite,Suspended for several games,spectator,Losing,off field,Uruguay,4/2/1998,27,Half
1393,not bite,None,None,Winning,No location,Uruguay,7/31/2013,91,Half
1394,not bite,None,None,Winning,No location,Uruguay,1/20/2000,91,No Moon
1395,bite,Not Caught,spectator,Losing,opponent team penalty area,Uruguay,2/14/2002,6,Full
1396,bite,Yellow card,defender,Losing,opponent team penalty area,England,5/25/2005,50,Full
1397,not bite,Red Card,forward,Winning,midfield,Netherlands,7/30/2008,3,Full
1398,not bite,Red Card,goalkeeper,Draw at a time,opponent team penalty area,Uruguay,1/26/1997,16,No Moon
1399,bite,Suspended for several games,spectator,Losing,off field,Uruguay,3/4/2004,33,Half
1400,not bite,Yellow card,referee,Losing,opponent team penalty area,Uruguay,3/13/1998,33,No Moon
1401,not bite,Suspended for several games,spectator,Winning,off field,Netherlands,3/30/2013,63,Half
1402,not bite,Suspended for several games,goalkeeper,Winning,off field,Uruguay,6/2/1997,13,No Moon
1403,bite,Not Caught,goalkeeper,Losing,opponent team penalty area,Uruguay,4/20/1999,10,Half
1404,not bite,Not Caught,defender,Draw at a time,midfield,Netherlands,8/28/2012,30,Full
1405,not bite,yellow card,referee,Winning,his team penalty area,Netherlands,11/25/2006,28,Half
1406,not bite,None,None,Winning,No location,Uruguay,10/2/1997,91,Half
1407,bite,Suspended for several games,spectator,Losing,off field,Netherlands,12/2/2009,60,Half
1408,not bite,None,None,Winning,No location,Uruguay,7/3/1993,91,Half
1409,bite,None,referee,Losing,midfield,Uruguay,1/20/1999,14,Full
1410,not bite,Yellow card,defender,Draw at a time,midfield,Uruguay,8/5/1995,61,No Moon
1411,not bite,Suspended for several games,None,Draw at a time,off field,Netherlands,5/1/2010,36,Full
1412,not bite,Not Caught,None,Losing,off field,Netherlands,10/5/2007,83,No Moon
1413,not bite,Yellow card,spectator,Draw at a time,off field,Netherlands,9/24/2008,70,Half
1414,not bite,None,None,Winning,No location,Uruguay,4/7/2002,91,Half
1415,bite,Suspended for several games,midfielder,Losing,his team penalty area,Uruguay,7/27/2005,91,Full
1416,bite,Not Caught,spectator,Winning,No location,England,7/4/2012,74,Full
1417,not bite,Suspended for several games,referee,Winning,midfield,Netherlands,10/26/2010,29,Full
1418,bite,Yellow card,spectator,Losing,off field,Uruguay,3/15/2005,62,Full
1419,bite,Red Card,defender,Losing,his team penalty area,Netherlands,4/14/2009,83,Full
